date,close
2018-03-15,0.77979
2018-03-16,0.77117
2018-03-19,0.77179
2018-03-20,0.76832
2018-03-21,0.77653
2018-03-22,0.76933
2018-03-23,0.76976
2018-03-26,0.77476
2018-03-27,0.7679
2018-03-28,0.76629
2018-03-29,0.76778
2018-03-30,0.76812
2018-04-02,0.76613
2018-04-03,0.76846
2018-04-04,0.77165
2018-04-05,0.76844
2018-04-06,0.7674
2018-04-09,0.76986
2018-04-10,0.77613
2018-04-11,0.77567
2018-04-12,0.77543
2018-04-13,0.77644
2018-04-16,0.7781
2018-04-17,0.77674
2018-04-18,0.77841
2018-04-19,0.77293
2018-04-20,0.76697
2018-04-23,0.76047
2018-04-24,0.76034
2018-04-25,0.75646
2018-04-26,0.75538
2018-04-27,0.75821
2018-04-30,0.75303
2018-05-01,0.74908
2018-05-02,0.74931
2018-05-03,0.75323
2018-05-04,0.75388
2018-05-07,0.75171
2018-05-08,0.74555
2018-05-09,0.74606
2018-05-10,0.75323
2018-05-11,0.75433
2018-05-14,0.75252
2018-05-15,0.74734
2018-05-16,0.75163
2018-05-17,0.75115
2018-05-18,0.75105
2018-05-21,0.7581
2018-05-22,0.75755
2018-05-23,0.75587
2018-05-24,0.75755
2018-05-25,0.75485
2018-05-28,0.75459
2018-05-29,0.75059
2018-05-30,0.75737
2018-05-31,0.75681
2018-06-01,0.75698
2018-06-04,0.76483
2018-06-05,0.76166
2018-06-06,0.76677
2018-06-07,0.76241
2018-06-08,0.7603
2018-06-11,0.76101
2018-06-12,0.75726
2018-06-13,0.75783
2018-06-14,0.74788
2018-06-15,0.74415
2018-06-18,0.74238
2018-06-19,0.7382
2018-06-20,0.73678
2018-06-21,0.73795
2018-06-22,0.74404
2018-06-25,0.74139
2018-06-26,0.73935
2018-06-27,0.73403
2018-06-28,0.73518
2018-06-29,0.7404
2018-07-02,0.73374
2018-07-03,0.73858
2018-07-04,0.73875
2018-07-05,0.73869
2018-07-06,0.74308
2018-07-09,0.74664
2018-07-10,0.74598
2018-07-11,0.73666
2018-07-12,0.74086
2018-07-13,0.74213
2018-07-16,0.74208
2018-07-17,0.7389
2018-07-18,0.7397
2018-07-19,0.73591
2018-07-20,0.7414
2018-07-23,0.7381
2018-07-24,0.7424
2018-07-25,0.7455
2018-07-26,0.73763
2018-07-27,0.73976
2018-07-30,0.74076
2018-07-31,0.74233
2018-08-01,0.74045
2018-08-02,0.73598
2018-08-03,0.73997
2018-08-06,0.73868
2018-08-07,0.7421
2018-08-08,0.74325
2018-08-09,0.73723
2018-08-10,0.73018
2018-08-13,0.72726
2018-08-14,0.7243
2018-08-15,0.72388
2018-08-16,0.7261
2018-08-17,0.73128
2018-08-20,0.73403
2018-08-21,0.7368
2018-08-22,0.7347
2018-08-23,0.72466
2018-08-24,0.73295
2018-08-27,0.73513
2018-08-28,0.7339
2018-08-29,0.73109
2018-08-30,0.7262
2018-08-31,0.71903
2018-09-03,0.72135
2018-09-04,0.71775
2018-09-05,0.71938
2018-09-06,0.71979
2018-09-07,0.71068
2018-09-10,0.71135
2018-09-11,0.71193
2018-09-12,0.71688
2018-09-13,0.71942
2018-09-14,0.71525
2018-09-17,0.71772
2018-09-18,0.72193
2018-09-19,0.72628
2018-09-20,0.72916
2018-09-21,0.72915
2018-09-24,0.72528
2018-09-25,0.72499
2018-09-26,0.72548
2018-09-27,0.72075
2018-09-28,0.72245
2018-10-01,0.72243
2018-10-02,0.7189
2018-10-03,0.71025
2018-10-04,0.70786
2018-10-05,0.7053
2018-10-08,0.70777
2018-10-09,0.71026
2018-10-10,0.70542
2018-10-11,0.71238
2018-10-12,0.7114
2018-10-15,0.71315
2018-10-16,0.71417
2018-10-17,0.71089
2018-10-18,0.70991
2018-10-19,0.71188
2018-10-22,0.70814
2018-10-23,0.70853
2018-10-24,0.70592
2018-10-25,0.70791
2018-10-26,0.70885
2018-10-29,0.7055
2018-10-30,0.71045
2018-10-31,0.70729
2018-11-01,0.72058
2018-11-02,0.71933
2018-11-05,0.72104
2018-11-06,0.72452
2018-11-07,0.72764
2018-11-08,0.72564
2018-11-09,0.72278
2018-11-12,0.71755
2018-11-13,0.72189
2018-11-14,0.72308
2018-11-15,0.72769
2018-11-16,0.73324
2018-11-19,0.72946
2018-11-20,0.72133
2018-11-21,0.72623
2018-11-22,0.72541
2018-11-23,0.72334
2018-11-26,0.72208
2018-11-27,0.72246
2018-11-28,0.73049
2018-11-29,0.73191
2018-11-30,0.73076
2018-12-03,0.73579
2018-12-04,0.73385
2018-12-05,0.72685
2018-12-06,0.72356
2018-12-07,0.72067
2018-12-10,0.71893
2018-12-11,0.72059
2018-12-12,0.72197
2018-12-13,0.72269
2018-12-14,0.71766
2018-12-17,0.71811
2018-12-18,0.71813
2018-12-19,0.71084
2018-12-20,0.71074
2018-12-21,0.70347
2018-12-24,0.70488
2018-12-25,0.70363
2018-12-26,0.70657
2018-12-27,0.70322
2018-12-28,0.70393
2018-12-31,0.70501
2019-01-01,0.70537
2019-01-02,0.69842
2019-01-03,0.70053
2019-01-04,0.71126
2019-01-07,0.71491
2019-01-08,0.714
2019-01-09,0.71705
2019-01-10,0.71851
2019-01-11,0.72153
2019-01-14,0.71949
2019-01-15,0.72018
2019-01-16,0.71677
2019-01-17,0.71934
2019-01-18,0.71611
2019-01-21,0.71592
2019-01-22,0.71236
2019-01-23,0.71408
2019-01-24,0.70946
2019-01-25,0.71765
2019-01-28,0.71665
